2024-10-05 14:32:18,008 - INFO - Started.
2024-10-05 15:33:53,440 - INFO - Epoch 12001/50000, Loss: 210690.03125
2024-10-05 15:34:23,925 - INFO - Epoch 12101/50000, Loss: 207399.09375
2024-10-05 15:34:54,286 - INFO - Epoch 12201/50000, Loss: 207657.578125
2024-10-05 15:35:24,879 - INFO - Epoch 12301/50000, Loss: 207169.125
2024-10-05 15:35:55,739 - INFO - Epoch 12401/50000, Loss: 207028.296875
2024-10-05 15:36:26,115 - INFO - Epoch 12501/50000, Loss: 207918.65625
2024-10-05 15:36:56,835 - INFO - Epoch 12601/50000, Loss: 199058.09375
2024-10-05 15:37:27,257 - INFO - Epoch 12701/50000, Loss: 207512.453125
2024-10-05 15:37:57,476 - INFO - Epoch 12801/50000, Loss: 204321.140625
2024-10-05 15:38:27,820 - INFO - Epoch 12901/50000, Loss: 197639.828125
2024-10-05 15:38:57,930 - INFO - Epoch 13001/50000, Loss: 198120.9375
2024-10-05 15:39:28,055 - INFO - Epoch 13101/50000, Loss: 208036.140625
2024-10-05 15:39:59,307 - INFO - Epoch 13201/50000, Loss: 200957.40625
2024-10-05 15:40:29,528 - INFO - Epoch 13301/50000, Loss: 188553.03125
2024-10-05 15:40:59,919 - INFO - Epoch 13401/50000, Loss: 189752.28125
2024-10-05 15:41:30,482 - INFO - Epoch 13501/50000, Loss: 194203.9375
2024-10-05 15:42:00,826 - INFO - Epoch 13601/50000, Loss: 185484.4375
2024-10-05 15:42:31,639 - INFO - Epoch 13701/50000, Loss: 184557.03125
2024-10-05 15:43:02,014 - INFO - Epoch 13801/50000, Loss: 196322.390625
2024-10-05 15:43:32,389 - INFO - Epoch 13901/50000, Loss: 191551.46875
2024-10-05 15:44:03,014 - INFO - Epoch 14001/50000, Loss: 176391.171875
2024-10-05 15:44:33,530 - INFO - Epoch 14101/50000, Loss: 183384.71875
2024-10-05 15:45:04,811 - INFO - Epoch 14201/50000, Loss: 174495.96875
2024-10-05 15:45:35,171 - INFO - Epoch 14301/50000, Loss: 183158.859375
2024-10-05 15:46:05,490 - INFO - Epoch 14401/50000, Loss: 174927.8125
2024-10-05 15:46:36,028 - INFO - Epoch 14501/50000, Loss: 178041.5
2024-10-05 15:47:06,325 - INFO - Epoch 14601/50000, Loss: 169479.015625
2024-10-05 15:47:36,935 - INFO - Epoch 14701/50000, Loss: 172311.421875
2024-10-05 15:48:07,748 - INFO - Epoch 14801/50000, Loss: 166374.1875
2024-10-05 15:48:38,216 - INFO - Epoch 14901/50000, Loss: 167955.828125
2024-10-05 15:49:08,576 - INFO - Epoch 15001/50000, Loss: 162770.15625
2024-10-05 15:49:38,529 - INFO - Epoch 15101/50000, Loss: 166157.5
2024-10-05 15:50:08,921 - INFO - Epoch 15201/50000, Loss: 182459.78125
2024-10-05 15:50:39,796 - INFO - Epoch 15301/50000, Loss: 157945.421875
2024-10-05 15:51:10,593 - INFO - Epoch 15401/50000, Loss: 168190.875
2024-10-05 15:51:41,156 - INFO - Epoch 15501/50000, Loss: 160802.28125
2024-10-05 15:52:11,330 - INFO - Epoch 15601/50000, Loss: 153922.015625
2024-10-05 15:52:42,472 - INFO - Epoch 15701/50000, Loss: 157124.25
2024-10-05 15:53:13,629 - INFO - Epoch 15801/50000, Loss: 163665.515625
2024-10-05 15:53:43,988 - INFO - Epoch 15901/50000, Loss: 153004.546875
2024-10-05 15:54:13,817 - INFO - Epoch 16001/50000, Loss: 148059.875
2024-10-05 15:54:44,396 - INFO - Epoch 16101/50000, Loss: 147815.96875
2024-10-05 15:55:14,849 - INFO - Epoch 16201/50000, Loss: 147619.828125
2024-10-05 15:55:45,351 - INFO - Epoch 16301/50000, Loss: 148468.4375
2024-10-05 15:56:16,134 - INFO - Epoch 16401/50000, Loss: 149839.953125
2024-10-05 15:56:46,150 - INFO - Epoch 16501/50000, Loss: 142527.828125
2024-10-05 15:57:16,729 - INFO - Epoch 16601/50000, Loss: 144014.0625
2024-10-05 15:57:47,275 - INFO - Epoch 16701/50000, Loss: 136889.90625
2024-10-05 15:58:17,198 - INFO - Epoch 16801/50000, Loss: 135416.859375
2024-10-05 15:58:47,621 - INFO - Epoch 16901/50000, Loss: 135568.875
2024-10-05 15:59:18,309 - INFO - Epoch 17001/50000, Loss: 142856.734375
2024-10-05 15:59:48,419 - INFO - Epoch 17101/50000, Loss: 140829.234375
2024-10-05 16:00:19,389 - INFO - Epoch 17201/50000, Loss: 145017.125
2024-10-05 16:00:50,002 - INFO - Epoch 17301/50000, Loss: 139517.265625
2024-10-05 16:01:20,486 - INFO - Epoch 17401/50000, Loss: 129031.0234375
2024-10-05 16:01:51,690 - INFO - Epoch 17501/50000, Loss: 139270.40625
2024-10-05 16:02:22,160 - INFO - Epoch 17601/50000, Loss: 130559.2734375
2024-10-05 16:02:52,598 - INFO - Epoch 17701/50000, Loss: 131743.515625
2024-10-05 16:03:22,989 - INFO - Epoch 17801/50000, Loss: 129204.65625
2024-10-05 16:03:53,129 - INFO - Epoch 17901/50000, Loss: 139700.703125
2024-10-05 16:04:23,552 - INFO - Epoch 18001/50000, Loss: 127165.4765625
2024-10-05 16:04:53,365 - INFO - Epoch 18101/50000, Loss: 125255.265625
2024-10-05 16:05:23,724 - INFO - Epoch 18201/50000, Loss: 117228.765625
2024-10-05 16:05:54,490 - INFO - Epoch 18301/50000, Loss: 121699.34375
2024-10-05 16:06:25,241 - INFO - Epoch 18401/50000, Loss: 127666.890625
2024-10-05 16:06:56,617 - INFO - Epoch 18501/50000, Loss: 115104.8984375
2024-10-05 16:07:27,383 - INFO - Epoch 18601/50000, Loss: 133775.453125
2024-10-05 16:07:57,821 - INFO - Epoch 18701/50000, Loss: 113793.0546875
2024-10-05 16:08:27,790 - INFO - Epoch 18801/50000, Loss: 119229.125
2024-10-05 16:08:57,979 - INFO - Epoch 18901/50000, Loss: 125072.3359375
2024-10-05 16:09:27,698 - INFO - Epoch 19001/50000, Loss: 108223.859375
2024-10-05 16:09:58,261 - INFO - Epoch 19101/50000, Loss: 114679.953125
2024-10-05 16:10:28,839 - INFO - Epoch 19201/50000, Loss: 105527.2109375
2024-10-05 16:10:59,183 - INFO - Epoch 19301/50000, Loss: 112801.09375
2024-10-05 16:11:29,652 - INFO - Epoch 19401/50000, Loss: 105254.5234375
2024-10-05 16:11:59,574 - INFO - Epoch 19501/50000, Loss: 103871.0078125
2024-10-05 16:12:29,824 - INFO - Epoch 19601/50000, Loss: 106319.28125
2024-10-05 16:12:59,904 - INFO - Epoch 19701/50000, Loss: 107368.7734375
2024-10-05 16:13:29,654 - INFO - Epoch 19801/50000, Loss: 105314.921875
2024-10-05 16:13:59,404 - INFO - Epoch 19901/50000, Loss: 97359.625
2024-10-05 16:14:30,030 - INFO - Epoch 20001/50000, Loss: 98225.75
2024-10-05 16:15:00,092 - INFO - Epoch 20101/50000, Loss: 98601.890625
2024-10-05 16:15:30,751 - INFO - Epoch 20201/50000, Loss: 95395.0234375
2024-10-05 16:16:01,063 - INFO - Epoch 20301/50000, Loss: 93569.3125
2024-10-05 16:16:31,877 - INFO - Epoch 20401/50000, Loss: 93205.140625
2024-10-05 16:17:02,846 - INFO - Epoch 20501/50000, Loss: 92555.34375
2024-10-05 16:17:33,424 - INFO - Epoch 20601/50000, Loss: 92390.421875
2024-10-05 16:18:03,800 - INFO - Epoch 20701/50000, Loss: 91998.15625
2024-10-05 16:18:34,206 - INFO - Epoch 20801/50000, Loss: 95401.3984375
2024-10-05 16:19:04,800 - INFO - Epoch 20901/50000, Loss: 94934.8828125
2024-10-05 16:19:35,394 - INFO - Epoch 21001/50000, Loss: 90313.9921875
2024-10-05 16:20:05,770 - INFO - Epoch 21101/50000, Loss: 86645.9921875
2024-10-05 16:20:35,943 - INFO - Epoch 21201/50000, Loss: 84135.4921875
2024-10-05 16:21:06,693 - INFO - Epoch 21301/50000, Loss: 93997.3515625
2024-10-05 16:21:37,616 - INFO - Epoch 21401/50000, Loss: 83138.7421875
2024-10-05 16:22:08,694 - INFO - Epoch 21501/50000, Loss: 89636.3125
2024-10-05 16:22:39,039 - INFO - Epoch 21601/50000, Loss: 84941.1328125
2024-10-05 16:23:09,211 - INFO - Epoch 21701/50000, Loss: 80779.1796875
2024-10-05 16:23:39,431 - INFO - Epoch 21801/50000, Loss: 81774.265625
2024-10-05 16:24:09,931 - INFO - Epoch 21901/50000, Loss: 95559.65625
2024-10-05 16:24:40,948 - INFO - Epoch 22001/50000, Loss: 76617.3359375
2024-10-05 16:25:11,433 - INFO - Epoch 22101/50000, Loss: 84983.9921875
2024-10-05 16:25:41,402 - INFO - Epoch 22201/50000, Loss: 78217.7890625
2024-10-05 16:26:11,825 - INFO - Epoch 22301/50000, Loss: 77511.7265625
2024-10-05 16:26:42,028 - INFO - Epoch 22401/50000, Loss: 88976.1328125
2024-10-05 16:27:13,091 - INFO - Epoch 22501/50000, Loss: 75963.7109375
2024-10-05 16:27:43,357 - INFO - Epoch 22601/50000, Loss: 76959.625
2024-10-05 16:28:13,638 - INFO - Epoch 22701/50000, Loss: 93929.9765625
2024-10-05 16:28:44,484 - INFO - Epoch 22801/50000, Loss: 70490.6328125
2024-10-05 16:29:15,203 - INFO - Epoch 22901/50000, Loss: 80218.34375
2024-10-05 16:29:45,703 - INFO - Epoch 23001/50000, Loss: 74928.9609375
2024-10-05 16:30:16,015 - INFO - Epoch 23101/50000, Loss: 67589.1875
2024-10-05 16:30:46,375 - INFO - Epoch 23201/50000, Loss: 64361.921875
2024-10-05 16:31:17,532 - INFO - Epoch 23301/50000, Loss: 64701.57421875
2024-10-05 16:31:47,564 - INFO - Epoch 23401/50000, Loss: 77733.890625
2024-10-05 16:32:18,034 - INFO - Epoch 23501/50000, Loss: 62140.02734375
2024-10-05 16:32:48,706 - INFO - Epoch 23601/50000, Loss: 69036.0
2024-10-05 16:33:19,129 - INFO - Epoch 23701/50000, Loss: 61854.7578125
2024-10-05 16:33:49,894 - INFO - Epoch 23801/50000, Loss: 91328.1953125
2024-10-05 16:34:21,097 - INFO - Epoch 23901/50000, Loss: 76549.0625
2024-10-05 16:34:51,506 - INFO - Epoch 24001/50000, Loss: 61730.11328125
2024-10-05 16:35:21,849 - INFO - Epoch 24101/50000, Loss: 61765.2578125
2024-10-05 16:35:51,944 - INFO - Epoch 24201/50000, Loss: 63749.98828125
2024-10-05 16:36:22,070 - INFO - Epoch 24301/50000, Loss: 56802.80859375
2024-10-05 16:36:52,352 - INFO - Epoch 24401/50000, Loss: 59641.625
2024-10-05 16:37:22,869 - INFO - Epoch 24501/50000, Loss: 61804.75390625
2024-10-05 16:37:53,588 - INFO - Epoch 24601/50000, Loss: 60629.4765625
